yyyymm,Ret,Rfree,D/P
187102,0.013513513513513375,0.004524663161801005,-2.8511510447428834
187103,0.02444444444444449,0.004251628883079224,-2.8753015049751665
187104,0.02819956616052055,0.004642732039086099,-2.9031107836735943
187105,0.025316455696202445,0.003698181020805343,-2.928112085879012
187106,-0.008230452674897082,0.0033734916082713328,-2.9198475760291185
187107,-0.018672199170124415,0.0032554227309862386,-2.900998850470451
187108,0.012684989429175397,0.0037129396304659795,-2.9136040593894332
187109,0.010438413361169019,0.004554180381122278,-2.9239883686951496
187110,-0.051652892561983466,0.00704100610893958,-2.8709536720390627
187111,0.01089324618736387,0.006487558246665701,-2.881788014204773
187112,0.02155172413793105,0.006974592365466716,-2.9031107836735943
187201,0.025316455696202445,0.0057643863732944976,-2.9154996503922757
187202,0.00411522633744843,0.005218317815850935,-2.9067760676592242
187203,0.032786885245901676,0.006000524127864685,-2.9267394020670396
187204,0.02777777777777768,0.00603004134718596,-2.9419902423195063
187205,0.0,0.004952662841959472,-2.9296264484606485
187206,-0.009652509652509633,0.0040671462623212635,-2.9080713349955656
187207,-0.005847953216374324,0.0043992149796855924,-2.8904894118759463
187208,-0.0117647058823529,0.005218317815850935,-2.86672498817609
187209,-0.017857142857142794,0.007018868194448627,-2.8372619325822166
187210,0.004040404040403844,0.0076092125808741,-2.829979143107269
187211,-0.004024144869215207,0.008214315576960209,-2.8144213282659596
187212,0.024242424242424176,0.007631350495365054,-2.827313621929028
187301,0.007889546351084853,0.006487558246665701,-2.826873405726854
187302,0.007827788649706457,0.006561351294968885,-2.8264402170503704
187303,-0.007766990291262155,0.007107419852412446,-2.8104795959511772
187304,-0.013698630136986356,0.008051970870693204,-2.7885890635862225
187305,0.001984126984126977,0.005631558886348765,-2.7825390530929495
187306,-0.013861386138613763,0.004679628563237692,-2.7606125311930656
187307,-0.002008032128514192,0.004391835674855273,-2.750697300757928
187308,0.0,0.004849352574335015,-2.742854123296902
187309,-0.07645875251509049,0.010177210661824903,-2.6555321668187633
187310,-0.08714596949891051,0.01181541633415559,-2.556630830586446
187311,-0.0357995226730311,0.01033955536809191,-2.512511915879889
187312,0.09405940594059414,0.006871282097842258,-2.594802320611218
187401,0.05429864253393668,0.005129766157887115,-2.6476780726591658
187402,0.030042918454935563,0.0040671462623212635,-2.6772785424354564
187403,-0.01458333333333317,0.0041704565299457205,-2.662587827025453
187404,-0.02748414376321373,0.004251628883079224,-2.6347189280166603
187405,-0.02608695652173898,0.003816249898090438,-2.608285670948505
187406,-0.0044642857142858094,0.003742456849787253,-2.6038113905535836
187407,0.0,0.003779353373938846,-2.6038113905535836
187408,0.0022421524663676085,0.003653905191823433,-2.6060510331470885
187409,0.015659955257270708,0.004251628883079224,-2.6215896365748677
187410,-0.0022026431718060735,0.003926939470545214,-2.6193845640165536
187411,0.008830022075055233,0.003786732678769164,-2.6281758294277244
187412,-0.006564551422319487,0.0040671462623212635,-2.6215896365748677
187501,0.0,0.0035136984000473824,-2.629194235960087
187502,-0.0022026431718060735,0.0034694225710654725,-2.634652036147342
187503,0.013245033112582627,0.00399335321401808,-2.6555321668187633
187504,0.013071895424836777,0.003653905191823433,-2.67630150278763
187505,-0.03870967741935494,0.0030045263667554125,-2.644665869274868
187506,-0.020134228187919434,0.002997147061925094,-2.6322313645448587
187507,0.0022831050228309113,0.002820043745997452,-2.642480036892761
187508,0.004555808656036442,0.0032849399503075125,-2.6550576709616998
187509,-0.009070294784580546,0.003985973909187761,-2.654043200843063
187510,-0.016018306636155666,0.004295904712061134,-2.646058525074242
187511,0.016279069767441978,0.004354939150703682,-2.67043701061874
187512,0.0,0.004517283856970687,-2.678735813433435
187601,0.020594965675057253,0.004391835674855273,-2.699121570357909
187602,0.013452914798206095,0.00357273283868993,-2.7124847981700757
187603,-0.0022123893805309214,0.0036170086676718402,-2.710269957840523
187604,-0.037694013303769425,0.003698181020805343,-2.6718471524382497
187605,-0.03686635944700467,0.003366112303441015,-2.6342840508626013
187606,-0.007177033492822837,0.0031447331585314625,-2.627081138568543
187607,-0.012048192771084487,0.0024510785044815323,-2.614959778036198
187608,-0.04146341463414627,0.0022961131030448455,-2.572612230207106
187609,-0.06106870229007644,0.0031447331585314625,-2.509599262378372
187610,-0.005420054200542035,0.003823629202920756,-2.5041644663924147
187611,-0.019073569482288777,0.003653905191823433,-2.4849066497880004
